number;name;brand;price;numberofsim;diagonal;width;length;screentechnology;os;numberofcore;memoryGB;sensortype
202;Realme 6 Pro (8/128), Red;Realme;139890;2;6.6;2400;1080;IPS;Android;8;128;гироскоп
203;BQ-6042L Magic E Ultra Violet;BQ-6042L;45333;2;6.09;1280;600;IPS;Android 9.0;8;32;gps
204;BQ-6042L Magic E Black;BQ-6042L;45333;2;6.09;1280;600;IPS;Android 9.0;8;32;gps
205;Xiaomi Redmi 9C 64GB, Midnight Gray;Xiaomi;64990;2;6.53;1600;720;IPS;Android 10;8;64;gps
206;Xiaomi Redmi 9 32GB Ocean Green;Xiaomi;64990;2;6.53;2340;1080;IPS;Android;8;32;акселерометр
207;Xiaomi Redmi 9C 64GB, Twilight Blue;Xiaomi;64990;2;6.53;1600;720;IPS;Android 10;8;64;акселерометр
208;Xiaomi Redmi 9A 32GB, Peacock Green;Xiaomi;54990;2;6.53;1600;720;IPS;Android 10;8;32;акселерометр
209;Xiaomi Redmi 9A 32GB, Sky Blue;Xiaomi;54990;2;6.53;1600;720;IPS;Android 10;8;32;акселерометр
210;Samsung Galaxy A51 6/128GB, Silver;Samsung;149890;2;6.5;2400;1080;Super AMOLED;Android 9.0;8;128;gps
211;Samsung Galaxy A51 64GB, Silver;Samsung;0;2;6.5;2400;1080;Super AMOLED;Android 9.0;8;64;акселерометр
212;Samsung Galaxy S20 FE, Red;Samsung;269890;2;6.5;2400;1080;Super AMOLED;Android 10;8;128;Face ID
213;Samsung Galaxy S20 FE, Lavender;Samsung;269890;2;6.5;2400;1080;Super AMOLED;Android 10;8;128;Face ID
214;Realme X3 Super Zoom 8/128Gb (White);Realme;203390;2;6.6;2400;1080;IPS;Android 10;8;128;акселерометр
215;Vivo Y30, Emerald Black;Vivo;71990;2;6.47;1560;720;LCD;Android 10;8;64;акселерометр
216;Apple iPhone SE 2020 128Gb Slim Box, Red;Apple;259790;1;4.7;1334;750;IPS;iOS;6;128;gps
217;Apple iPhone SE 2020 128Gb Slim Box, White;Apple;259890;1;4.7;1334;750;IPS;iOS;6;128;gps
218;Apple iPhone SE 2020 128Gb Slim Box, Black;Apple;259790;1;4.7;1334;750;IPS;iOS;6;128;gps
219;Apple iPhone SE 2020 64Gb Slim Box, White;Apple;229790;1;4.7;1334;750;IPS;iOS;6;64;gps
220;Apple iPhone SE 2020 64Gb Slim Box, Red;Apple;229790;1;4.7;1334;750;IPS;iOS;6;64;акселерометр
221;Apple iPhone SE 2020 64Gb Slim Box, Black;Apple;229990;1;4.7;1334;750;IPS;iOS;6;64;gps
222;Realme 6 4/128Gb, White;Realme;90290;2;6.5;2400;1080;IPS;Android 10;8;128;акселерометр
223;Realme 6 4/128Gb, Blue;Realme;99990;2;6.5;2400;1080;IPS;Android 10;8;128;акселерометр
224;OPPO A91, Lightening Black;OPPO;139999;2;6.4;2400;1080;AMOLED;Android 9.0;8;128;gps
225;Samsung Galaxy A41, White;Samsung;119890;2;6.1;2400;1080;Super AMOLED;Android;8;64;акселерометр
226;Samsung Galaxy A41, Black;Samsung;0;2;6.1;2400;1080;Super AMOLED;Android 10;8;64;акселерометр
227;Samsung Galaxy A41, Blue;Samsung;0;2;6.1;2400;1080;Super AMOLED;Android 10;8;64;акселерометр
228;Samsung Galaxy A31, White;Samsung;109890;2;6.4;2400;1080;Super AMOLED;Android;8;64;акселерометр
229;Samsung Galaxy A31, Black;Samsung;109890;2;6.4;2400;1080;Super AMOLED;Android 10;8;64;Face ID
230;Samsung Galaxy A31, Blue;Samsung;109890;2;6.4;2400;1080;Super AMOLED;Android 10;8;64;Face ID
231;Samsung Galaxy A21s, White;Samsung;89890;2;6.5;2400;1080;TFT (TN);Android 10;8;32;Face ID
232;Samsung Galaxy A21s, Red;Samsung;74990;2;6.5;2400;1080;TFT (TN);Android 10;8;32;Face ID
233;Samsung Galaxy A21s, Black;Samsung;89890;2;6.5;2400;1080;TFT (TN);Android 10;8;32;Face ID
234;Samsung Galaxy A11, White;Samsung;59890;2;6.4;1560;720;TFT (TN);Android;8;32;gps
235;Samsung Galaxy A11, Red;Samsung;59890;2;6.4;1560;720;TFT (TN);Android;8;32;gps
236;Samsung Galaxy S20 plus, Black;Samsung;319890;2;6.7;3200;1440;Dynamic AMOLED;Android 10;8;128;акселерометр
237;Samsung Galaxy S20 plus, Gray;Samsung;319890;2;6.7;3200;1440;Dynamic AMOLED;Android 10;8;128;акселерометр
238;Samsung Galaxy S20, Red;Samsung;299890;2;6.2;3200;1440;Dynamic AMOLED;Android 10;8;128;акселерометр
239;Samsung Galaxy S20, Blue;Samsung;299890;2;6.2;3200;1440;Dynamic AMOLED;Android 10;8;128;акселерометр
240;Samsung Galaxy A51 128GB White, (SM-A515FZWWSKZ);Samsung;149890;2;6.5;1080;2400;Super AMOLED;Android;8;128;gps
241;Samsung Galaxy A71 Black;Samsung;189890;2;6.7;2400;1080;Super AMOLED;Android;8;128;акселерометр
242;Samsung Galaxy A71 Silver;Samsung;189890;2;6.7;2400;1080;Super AMOLED;Android;8;128;акселерометр
243;Samsung Galaxy A51 128GB, Black (SM-A515FZKWSKZ);Samsung;149890;2;6.5;2400;1080;Super AMOLED;Android;8;128;gps
244;Samsung Galaxy A51 128GB, Blue (SM-A515FZBWSKZ);Samsung;149890;2;6.5;2400;1080;Super AMOLED;Android;8;128;gps
245;Samsung Galaxy A51 64GB, White (SM-A515FZWUSKZ);Samsung;129890;2;6.5;2400;1080;Super AMOLED;Android;8;64;gps
246;Samsung Galaxy A51 64GB, Black (SM-A515FZKUSKZ);Samsung;0;2;6.5;2400;1080;Super AMOLED;Android;8;64;gps
247;Samsung Galaxy A51 64GB, Blue (SM-A515FZBUSKZ);Samsung;0;2;6.5;2400;1080;Super AMOLED;Android;8;64;gps
